year,state,distirct,App_open,No_of_App_open
2018,andaman-&-nicobar-islands,north and middle andaman district,0,632
2018,andaman-&-nicobar-islands,south andaman district,0,5846
2018,andaman-&-nicobar-islands,nicobars district,0,262
2018,andaman-&-nicobar-islands,north and middle andaman district,0,911
2018,andaman-&-nicobar-islands,south andaman district,0,8143
2018,andaman-&-nicobar-islands,nicobars district,0,351
2018,andaman-&-nicobar-islands,north and middle andaman district,0,1208
2018,andaman-&-nicobar-islands,south andaman district,0,10474
2018,andaman-&-nicobar-islands,nicobars district,0,467
2018,andaman-&-nicobar-islands,north and middle andaman district,0,1553
2018,andaman-&-nicobar-islands,south andaman district,0,13133
2018,andaman-&-nicobar-islands,nicobars district,0,536
2019,andaman-&-nicobar-islands,north and middle andaman district,0,2013
2019,andaman-&-nicobar-islands,south andaman district,0,15961
2019,andaman-&-nicobar-islands,nicobars district,0,622
2019,andaman-&-nicobar-islands,north and middle andaman district,6118,2417
2019,andaman-&-nicobar-islands,south andaman district,43569,18621
2019,andaman-&-nicobar-islands,nicobars district,2953,693
2019,andaman-&-nicobar-islands,north and middle andaman district,22064,2662
2019,andaman-&-nicobar-islands,south andaman district,138190,20518
2019,andaman-&-nicobar-islands,nicobars district,10853,751
2019,andaman-&-nicobar-islands,north and middle andaman district,26253,2955
2019,andaman-&-nicobar-islands,south andaman district,139646,22202
2019,andaman-&-nicobar-islands,nicobars district,11113,803
2020,andaman-&-nicobar-islands,north and middle andaman district,30444,3315
2020,andaman-&-nicobar-islands,south andaman district,151529,24174
2020,andaman-&-nicobar-islands,nicobars district,11613,879
2020,andaman-&-nicobar-islands,north and middle andaman district,56992,4100
2020,andaman-&-nicobar-islands,south andaman district,231071,27626
2020,andaman-&-nicobar-islands,nicobars district,17009,984
2020,andaman-&-nicobar-islands,north and middle andaman district,76553,5355
2020,andaman-&-nicobar-islands,south andaman district,417785,34833
2020,andaman-&-nicobar-islands,nicobars district,21227,1147
2020,andaman-&-nicobar-islands,north and middle andaman district,125915,7076
2020,andaman-&-nicobar-islands,south andaman district,725321,43908
2020,andaman-&-nicobar-islands,nicobars district,35972,1412
