year,state,districts,registeredUsers,amount,type
2018,andaman-&-nicobar-islands,south andaman,5688,12560249.343665812,TOTAL
2018,andaman-&-nicobar-islands,nicobars,528,1139848.801225994,TOTAL
2018,andaman-&-nicobar-islands,north and middle andaman,442,931663.0770939873,TOTAL
2018,andaman-&-nicobar-islands,south andaman,9395,23948235.51634325,TOTAL
2018,andaman-&-nicobar-islands,nicobars,1120,3072436.9081196385,TOTAL
2018,andaman-&-nicobar-islands,north and middle andaman,825,1317863.0834906558,TOTAL
2018,andaman-&-nicobar-islands,south andaman,13511,44268112.46425246,TOTAL
2018,andaman-&-nicobar-islands,nicobars,1471,6387829.151558982,TOTAL
2018,andaman-&-nicobar-islands,north and middle andaman,1283,4901529.518499676,TOTAL
2018,andaman-&-nicobar-islands,south andaman,20136,75411840.8018554,TOTAL
2018,andaman-&-nicobar-islands,north and middle andaman,2137,7955635.917688001,TOTAL
2018,andaman-&-nicobar-islands,nicobars,1485,7180859.354911782,TOTAL
2019,andaman-&-nicobar-islands,south andaman,25683,85501972.38780196,TOTAL
2019,andaman-&-nicobar-islands,north and middle andaman,3264,9561708.736298349,TOTAL
2019,andaman-&-nicobar-islands,nicobars,1539,7236059.549389593,TOTAL
2019,andaman-&-nicobar-islands,south andaman,28490,102530955.71341258,TOTAL
2019,andaman-&-nicobar-islands,north and middle andaman,3371,8612103.13788812,TOTAL
2019,andaman-&-nicobar-islands,nicobars,1828,9111650.82436246,TOTAL
2019,andaman-&-nicobar-islands,south andaman,27421,91023888.32848613,TOTAL
2019,andaman-&-nicobar-islands,north and middle andaman,4049,11481466.283356791,TOTAL
2019,andaman-&-nicobar-islands,nicobars,2300,11566421.475451011,TOTAL
2019,andaman-&-nicobar-islands,south andaman,27843,110930312.20611623,TOTAL
2019,andaman-&-nicobar-islands,north and middle andaman,4716,13524056.784573946,TOTAL
2019,andaman-&-nicobar-islands,nicobars,2600,12384161.52668771,TOTAL
2020,andaman-&-nicobar-islands,south andaman,32713,134679396.90582758,TOTAL
2020,andaman-&-nicobar-islands,north and middle andaman,5674,14697371.617857102,TOTAL
2020,andaman-&-nicobar-islands,nicobars,2911,12099543.773590053,TOTAL
2020,andaman-&-nicobar-islands,south andaman,48088,132855778.74838585,TOTAL
2020,andaman-&-nicobar-islands,north and middle andaman,10979,22447714.061058953,TOTAL
2020,andaman-&-nicobar-islands,nicobars,3895,14341508.60470232,TOTAL
2020,andaman-&-nicobar-islands,south andaman,95323,282366109.20523936,TOTAL
2020,andaman-&-nicobar-islands,north and middle andaman,16747,33486883.37042556,TOTAL
2020,andaman-&-nicobar-islands,nicobars,5413,22166453.754695382,TOTAL
2020,andaman-&-nicobar-islands,south andaman,186494,523122462.883029,TOTAL
2020,andaman-&-nicobar-islands,north and middle andaman,29349,68941322.38839513,TOTAL
2020,andaman-&-nicobar-islands,nicobars,8688,35218871.04342848,TOTAL
2021,andaman-&-nicobar-islands,south andaman,207092,669604045.1248703,TOTAL
2021,andaman-&-nicobar-islands,north and middle andaman,27358,75027255.27919498,TOTAL
2021,andaman-&-nicobar-islands,nicobars,10302,39075266.9856904,TOTAL
2021,andaman-&-nicobar-islands,south andaman,286907,760893020.5704947,TOTAL
2021,andaman-&-nicobar-islands,north and middle andaman,39200,90233388.79463303,TOTAL
2021,andaman-&-nicobar-islands,nicobars,15307,48020606.74716838,TOTAL
2021,andaman-&-nicobar-islands,south andaman,382418,1116789010.6459613,TOTAL
2021,andaman-&-nicobar-islands,north and middle andaman,46592,118254865.82750683,TOTAL
2021,andaman-&-nicobar-islands,nicobars,20754,74980519.32813609,TOTAL
2021,andaman-&-nicobar-islands,south andaman,558571,1694794708.0093331,TOTAL
2021,andaman-&-nicobar-islands,north and middle andaman,53115,156486112.28732437,TOTAL
2021,andaman-&-nicobar-islands,nicobars,24437,81329281.0269996,TOTAL
2022,andaman-&-nicobar-islands,south andaman,705512,1872991195.902684,TOTAL
2022,andaman-&-nicobar-islands,north and middle andaman,60059,161624878.52274162,TOTAL
2022,andaman-&-nicobar-islands,nicobars,29177,94414127.64974089,TOTAL
2022,andaman-&-nicobar-islands,south andaman,954875,2357326563.362071,TOTAL
2022,andaman-&-nicobar-islands,north and middle andaman,72573,195693167.78757268,TOTAL
2022,andaman-&-nicobar-islands,nicobars,43769,132900618.93062323,TOTAL
2022,andaman-&-nicobar-islands,south andaman,1455255,2967719400.8499093,TOTAL
2022,andaman-&-nicobar-islands,north and middle andaman,79574,211581970.34202653,TOTAL
2022,andaman-&-nicobar-islands,nicobars,49550,131330400.94545083,TOTAL
2022,andaman-&-nicobar-islands,south andaman,1835592,3600887266.099448,TOTAL
2022,andaman-&-nicobar-islands,north and middle andaman,93297,241431284.35581034,TOTAL
2022,andaman-&-nicobar-islands,nicobars,58646,142355853.97352523,TOTAL
2023,andaman-&-nicobar-islands,south andaman,2030078,3867385426.0,TOTAL
