year,state,Pincode,type,count,amount
2018,andaman-&-nicobar-islands,744101,TOTAL,1622,2769297.9039997994
2018,andaman-&-nicobar-islands,744103,TOTAL,1223,2238041.8716124697
2018,andaman-&-nicobar-islands,744102,TOTAL,969,3519059.937562449
2018,andaman-&-nicobar-islands,744105,TOTAL,685,1298560.9515503529
2018,andaman-&-nicobar-islands,744104,TOTAL,340,1039715.3111450541
2018,andaman-&-nicobar-islands,744107,TOTAL,302,556059.5308556345
2018,andaman-&-nicobar-islands,744301,TOTAL,283,445739.1633851439
2018,andaman-&-nicobar-islands,744112,TOTAL,269,333709.56700413954
2018,andaman-&-nicobar-islands,744202,TOTAL,193,238914.01667155625
2018,andaman-&-nicobar-islands,744302,TOTAL,168,547469.6509380838
2018,andaman-&-nicobar-islands,744101,TOTAL,2701,6310089.917084678
2018,andaman-&-nicobar-islands,744103,TOTAL,1965,4752146.698501162
2018,andaman-&-nicobar-islands,744102,TOTAL,1525,5810267.574788321
2018,andaman-&-nicobar-islands,744105,TOTAL,997,2200332.971862734
2018,andaman-&-nicobar-islands,744301,TOTAL,767,1953749.3787199226
2018,andaman-&-nicobar-islands,744104,TOTAL,659,1650346.1906506256
2018,andaman-&-nicobar-islands,744107,TOTAL,594,1601569.9821441039
2018,andaman-&-nicobar-islands,744112,TOTAL,432,578829.1795229593
2018,andaman-&-nicobar-islands,744202,TOTAL,405,626523.9803147907
2018,andaman-&-nicobar-islands,744302,TOTAL,291,1026590.0735863491
2018,andaman-&-nicobar-islands,744101,TOTAL,3462,10833893.444488766
2018,andaman-&-nicobar-islands,744103,TOTAL,3182,10184154.358592123
2018,andaman-&-nicobar-islands,744102,TOTAL,2224,10365275.479700703
2018,andaman-&-nicobar-islands,744105,TOTAL,1613,5152534.080403434
2018,andaman-&-nicobar-islands,744104,TOTAL,1029,2588077.6866583927
2018,andaman-&-nicobar-islands,744301,TOTAL,975,4256576.349618757
2018,andaman-&-nicobar-islands,744112,TOTAL,579,1145815.7801705198
2018,andaman-&-nicobar-islands,744107,TOTAL,547,1492405.302862124
2018,andaman-&-nicobar-islands,744302,TOTAL,417,1976781.9199490356
2018,andaman-&-nicobar-islands,744202,TOTAL,341,2099404.0789861116
2018,andaman-&-nicobar-islands,744101,TOTAL,4674,16392855.280625317
2018,andaman-&-nicobar-islands,744103,TOTAL,4576,17022520.257624768
2018,andaman-&-nicobar-islands,744102,TOTAL,3306,17019977.183053624
2018,andaman-&-nicobar-islands,744105,TOTAL,2513,9935282.832151461
2018,andaman-&-nicobar-islands,744104,TOTAL,1432,6091757.917089159
2018,andaman-&-nicobar-islands,744211,TOTAL,1225,3451359.606027063
2018,andaman-&-nicobar-islands,744301,TOTAL,928,4606293.657525641
2018,andaman-&-nicobar-islands,744112,TOTAL,759,2208675.0435713646
2018,andaman-&-nicobar-islands,744107,TOTAL,747,1825659.5128978956
2018,andaman-&-nicobar-islands,744202,TOTAL,702,3797054.1677634423
2019,andaman-&-nicobar-islands,744103,TOTAL,5742,19401964.77965755
2019,andaman-&-nicobar-islands,744101,TOTAL,5156,15501306.227195919
2019,andaman-&-nicobar-islands,744102,TOTAL,3925,16683547.094795756
2019,andaman-&-nicobar-islands,744105,TOTAL,3553,11588669.48032856
2019,andaman-&-nicobar-islands,744104,TOTAL,2833,9141657.219605077
2019,andaman-&-nicobar-islands,744211,TOTAL,1511,5794838.401831552
2019,andaman-&-nicobar-islands,744202,TOTAL,1112,3613381.294736007
2019,andaman-&-nicobar-islands,744107,TOTAL,1029,3592930.2975779255
2019,andaman-&-nicobar-islands,744301,TOTAL,920,4652963.41114777
2019,andaman-&-nicobar-islands,744112,TOTAL,802,1893718.6537822199
2019,andaman-&-nicobar-islands,744104,TOTAL,6142,15625676.560883244
2019,andaman-&-nicobar-islands,744103,TOTAL,5847,23751450.067206983
2019,andaman-&-nicobar-islands,744101,TOTAL,4863,19061125.41121897
2019,andaman-&-nicobar-islands,744102,TOTAL,4120,18948733.987097777
2019,andaman-&-nicobar-islands,744105,TOTAL,3500,13418692.199162653
2019,andaman-&-nicobar-islands,744202,TOTAL,1153,3619993.3910789257
2019,andaman-&-nicobar-islands,744107,TOTAL,1124,2967445.3902032813
2019,andaman-&-nicobar-islands,744211,TOTAL,1047,3168331.9917352106
2019,andaman-&-nicobar-islands,744301,TOTAL,1007,4849284.51925976
2019,andaman-&-nicobar-islands,744112,TOTAL,763,2928099.608406143
2019,andaman-&-nicobar-islands,744103,TOTAL,5680,19906337.014255583
2019,andaman-&-nicobar-islands,744101,TOTAL,5606,18745152.093515635
2019,andaman-&-nicobar-islands,744104,TOTAL,4786,15754793.354826454
2019,andaman-&-nicobar-islands,744102,TOTAL,3643,14572605.602745283
2019,andaman-&-nicobar-islands,744105,TOTAL,3512,11767223.99688773
2019,andaman-&-nicobar-islands,744202,TOTAL,1417,3875602.0982028744
2019,andaman-&-nicobar-islands,744301,TOTAL,1402,6195496.621729916
2019,andaman-&-nicobar-islands,744211,TOTAL,1118,2983697.449378184
2019,andaman-&-nicobar-islands,744107,TOTAL,914,1988299.759710987
2019,andaman-&-nicobar-islands,744112,TOTAL,833,2198831.6919406196
2019,andaman-&-nicobar-islands,744104,TOTAL,6633,20626642.701508522
2019,andaman-&-nicobar-islands,744101,TOTAL,5282,23247752.473849062
2019,andaman-&-nicobar-islands,744103,TOTAL,4840,19792507.955761045
2019,andaman-&-nicobar-islands,744105,TOTAL,3528,15302141.17488026
2019,andaman-&-nicobar-islands,744102,TOTAL,3237,15350444.97320769
2019,andaman-&-nicobar-islands,744202,TOTAL,1783,5800016.5561128855
2019,andaman-&-nicobar-islands,744211,TOTAL,1596,7908264.721918669
2019,andaman-&-nicobar-islands,744301,TOTAL,1549,7056478.928838715
2019,andaman-&-nicobar-islands,744201,TOTAL,886,946768.0636478986
2019,andaman-&-nicobar-islands,744107,TOTAL,777,3030368.911900454
2020,andaman-&-nicobar-islands,744101,TOTAL,11793,58229349.02415232
2020,andaman-&-nicobar-islands,744103,TOTAL,5870,22009443.073053975
2020,andaman-&-nicobar-islands,744105,TOTAL,4635,16774043.311987936
2020,andaman-&-nicobar-islands,744102,TOTAL,3820,14517706.12269676
2020,andaman-&-nicobar-islands,744211,TOTAL,1837,8425387.79004211
2020,andaman-&-nicobar-islands,744301,TOTAL,1819,6901162.107519586
2020,andaman-&-nicobar-islands,744202,TOTAL,1794,5037742.395579022
2020,andaman-&-nicobar-islands,744104,TOTAL,1302,5293130.290633954
2020,andaman-&-nicobar-islands,744201,TOTAL,1157,1242638.821252932
2020,andaman-&-nicobar-islands,744107,TOTAL,1043,2990354.4448547475
2020,andaman-&-nicobar-islands,744101,TOTAL,11868,48293323.21851964
2020,andaman-&-nicobar-islands,744103,TOTAL,10035,26197535.98945152
2020,andaman-&-nicobar-islands,744105,TOTAL,9341,23203019.858980607
2020,andaman-&-nicobar-islands,744102,TOTAL,6012,17786750.907515876
2020,andaman-&-nicobar-islands,744202,TOTAL,3722,8924121.010762567
2020,andaman-&-nicobar-islands,744107,TOTAL,2555,3980470.6853698147
2020,andaman-&-nicobar-islands,744301,TOTAL,2275,9055232.527755566
2020,andaman-&-nicobar-islands,744211,TOTAL,2045,3319717.6328789736
2020,andaman-&-nicobar-islands,744205,TOTAL,1847,4459064.90732021
2020,andaman-&-nicobar-islands,744104,TOTAL,1840,3334591.822304932
2020,andaman-&-nicobar-islands,744101,TOTAL,24386,100439119.66860783
2020,andaman-&-nicobar-islands,744103,TOTAL,21272,60332278.69396809
2020,andaman-&-nicobar-islands,744105,TOTAL,17166,44061506.56273589
2020,andaman-&-nicobar-islands,744102,TOTAL,13934,43077189.842844136
2020,andaman-&-nicobar-islands,744202,TOTAL,5779,11975748.707876923
2020,andaman-&-nicobar-islands,744107,TOTAL,4753,7628018.669464628
2020,andaman-&-nicobar-islands,744104,TOTAL,3468,7353834.51320935
