state,year,districts,registeredUsers
andaman-&-nicobar-islands,2018,south andaman,5846
andaman-&-nicobar-islands,2018,north and middle andaman,632
andaman-&-nicobar-islands,2018,nicobars,262
andaman-&-nicobar-islands,2018,south andaman,8143
andaman-&-nicobar-islands,2018,north and middle andaman,911
andaman-&-nicobar-islands,2018,nicobars,351
andaman-&-nicobar-islands,2018,south andaman,10474
andaman-&-nicobar-islands,2018,north and middle andaman,1208
andaman-&-nicobar-islands,2018,nicobars,467
andaman-&-nicobar-islands,2018,south andaman,13133
andaman-&-nicobar-islands,2018,north and middle andaman,1553
andaman-&-nicobar-islands,2018,nicobars,536
andaman-&-nicobar-islands,2019,south andaman,15961
andaman-&-nicobar-islands,2019,north and middle andaman,2013
andaman-&-nicobar-islands,2019,nicobars,622
andaman-&-nicobar-islands,2019,south andaman,18621
andaman-&-nicobar-islands,2019,north and middle andaman,2417
andaman-&-nicobar-islands,2019,nicobars,693
andaman-&-nicobar-islands,2019,south andaman,20518
andaman-&-nicobar-islands,2019,north and middle andaman,2662
andaman-&-nicobar-islands,2019,nicobars,751
andaman-&-nicobar-islands,2019,south andaman,22202
andaman-&-nicobar-islands,2019,north and middle andaman,2955
andaman-&-nicobar-islands,2019,nicobars,803
andaman-&-nicobar-islands,2020,south andaman,24174
andaman-&-nicobar-islands,2020,north and middle andaman,3315
andaman-&-nicobar-islands,2020,nicobars,879
andaman-&-nicobar-islands,2020,south andaman,27626
andaman-&-nicobar-islands,2020,north and middle andaman,4100
andaman-&-nicobar-islands,2020,nicobars,984
andaman-&-nicobar-islands,2020,south andaman,34833
andaman-&-nicobar-islands,2020,north and middle andaman,5355
andaman-&-nicobar-islands,2020,nicobars,1147
andaman-&-nicobar-islands,2020,south andaman,43908
andaman-&-nicobar-islands,2020,north and middle andaman,7076
andaman-&-nicobar-islands,2020,nicobars,1412
andaman-&-nicobar-islands,2021,south andaman,48352
andaman-&-nicobar-islands,2021,north and middle andaman,7833
andaman-&-nicobar-islands,2021,nicobars,1573
andaman-&-nicobar-islands,2021,south andaman,51903
andaman-&-nicobar-islands,2021,north and middle andaman,8493
andaman-&-nicobar-islands,2021,nicobars,1699
